2026-01-31 16:29:17 | INFO     | MainThread   | ================================================================================
2026-01-31 16:29:17 | INFO     | MainThread   | НАЧАЛО СИМУЛЯЦИИ: 2026-01-31 16:29:17
2026-01-31 16:29:17 | INFO     | MainThread   | ================================================================================
2026-01-31 16:29:17 | INFO     | MainThread   | Параметры: диалогов=100, флоу=20, персон=8, потоков=8
2026-01-31 16:29:17 | INFO     | MainThread   | Переменные окружения настроены для 8 потоков
2026-01-31 16:29:18 | INFO     | MainThread   | Система: CPU=32 ядер, RAM=60.47GB, GPU=NVIDIA GeForce RTX 5090
2026-01-31 16:29:18 | INFO     | MainThread   | Ollama: OK
2026-01-31 16:29:18 | INFO     | MainThread   | Модель qwen3:14b: OK
2026-01-31 16:29:18 | INFO     | MainThread   | Прогрев модели Qwen3 14B (загрузка в VRAM)...
2026-01-31 16:29:19 | INFO     | MainThread   | Модель загружена в VRAM за 1.6 сек
2026-01-31 16:29:20 | INFO     | MainThread   | Модули симулятора загружены
2026-01-31 16:29:26 | INFO     | MainThread   | Semantic Tone Analyzer: OK
2026-01-31 16:29:28 | INFO     | MainThread   | Reranker: OK
2026-01-31 16:29:28 | INFO     | MainThread   | Сгенерировано 160 комбинаций (20×8)
2026-01-31 16:29:28 | INFO     | MainThread   | Выбрано 100 сценариев из 160
2026-01-31 16:29:28 | INFO     | MainThread   | Флоу: 20, Персон: 8
2026-01-31 16:29:28 | INFO     | MainThread   | SimulationRunner готов
2026-01-31 16:29:28 | INFO     | MainThread   | ============================================================
2026-01-31 16:29:28 | INFO     | MainThread   | НАЧАЛО СИМУЛЯЦИИ
2026-01-31 16:29:28 | INFO     | MainThread   | ============================================================
2026-01-31 16:30:18 | INFO     | MainThread   | [1/100] PASS Value-Based Selling (aggressive) outcome=soft_close score=0.646
2026-01-31 16:30:33 | INFO     | MainThread   | [2/100] PASS NEAT Selling (aggressive) outcome=soft_close score=0.635
2026-01-31 16:30:38 | INFO     | MainThread   | [3/100] PASS Challenger Sale (aggressive) outcome=soft_close score=0.865
2026-01-31 16:30:38 | INFO     | MainThread   | [4/100] PASS Transactional Selling (aggressive) outcome=soft_close score=0.795
2026-01-31 16:31:08 | INFO     | MainThread   | [5/100] PASS Consultative Selling (aggressive) outcome=soft_close score=0.646
2026-01-31 16:31:19 | INFO     | MainThread   | [6/100] PASS Inbound Sales (tire_kicker) outcome=soft_close score=0.781
2026-01-31 16:31:31 | INFO     | MainThread   | [7/100] PASS NEAT Selling (price_sensitive) outcome=soft_close score=0.890
2026-01-31 16:31:56 | INFO     | MainThread   | [8/100] PASS Command of Sale (aggressive) outcome=soft_close score=0.745
2026-01-31 16:32:13 | INFO     | MainThread   | [9/100] PASS NEAT Selling (skeptic) outcome=soft_close score=0.781
2026-01-31 16:32:34 | INFO     | MainThread   | [10/100] PASS BANT (skeptic) outcome=soft_close score=0.781
2026-01-31 16:32:34 | INFO     | MainThread   | [11/100] PASS Transactional Selling (competitor_user) outcome=success score=0.920
2026-01-31 16:32:56 | INFO     | MainThread   | [12/100] PASS Value-Based Selling (technical) outcome=soft_close score=0.860
2026-01-31 16:33:54 | INFO     | MainThread   | [13/100] FAIL SNAP Selling (busy) outcome=abandoned score=0.650
2026-01-31 16:33:56 | INFO     | MainThread   | [14/100] PASS Consultative Selling (skeptic) outcome=soft_close score=0.841
2026-01-31 16:34:29 | INFO     | MainThread   | [15/100] FAIL Command of Sale (competitor_user) outcome=abandoned score=0.665
2026-01-31 16:34:32 | INFO     | MainThread   | [16/100] FAIL MEDDIC (competitor_user) outcome=abandoned score=0.680
2026-01-31 16:35:01 | INFO     | MainThread   | [17/100] PASS Inbound Sales (price_sensitive) outcome=success score=1.000
2026-01-31 16:35:06 | INFO     | MainThread   | [18/100] PASS SNAP Selling (competitor_user) outcome=soft_close score=0.920
2026-01-31 16:35:37 | INFO     | MainThread   | [19/100] PASS AIDA (skeptic) outcome=soft_close score=0.871
2026-01-31 16:35:38 | INFO     | MainThread   | [20/100] PASS Sandler Method (skeptic) outcome=soft_close score=0.988
2026-01-31 16:36:10 | INFO     | MainThread   | [21/100] PASS FAB Selling (happy_path) outcome=soft_close score=0.890
